F0semitoneFrom27.5Hz_sma3nz_amean,F0semitoneFrom27.5Hz_sma3nz_stddevNorm,F0semitoneFrom27.5Hz_sma3nz_percentile20.0,F0semitoneFrom27.5Hz_sma3nz_percentile50.0,F0semitoneFrom27.5Hz_sma3nz_percentile80.0,F0semitoneFrom27.5Hz_sma3nz_pctlrange0-2,F0semitoneFrom27.5Hz_sma3nz_meanRisingSlope,F0semitoneFrom27.5Hz_sma3nz_stddevRisingSlope,F0semitoneFrom27.5Hz_sma3nz_meanFallingSlope,F0semitoneFrom27.5Hz_sma3nz_stddevFallingSlope,loudness_sma3_amean,loudness_sma3_stddevNorm,loudness_sma3_percentile20.0,loudness_sma3_percentile50.0,loudness_sma3_percentile80.0,loudness_sma3_pctlrange0-2,loudness_sma3_meanRisingSlope,loudness_sma3_stddevRisingSlope,loudness_sma3_meanFallingSlope,loudness_sma3_stddevFallingSlope,spectralFlux_sma3_amean,spectralFlux_sma3_stddevNorm,mfcc1_sma3_amean,mfcc1_sma3_stddevNorm,mfcc2_sma3_amean,mfcc2_sma3_stddevNorm,mfcc3_sma3_amean,mfcc3_sma3_stddevNorm,mfcc4_sma3_amean,mfcc4_sma3_stddevNorm,jitterLocal_sma3nz_amean,jitterLocal_sma3nz_stddevNorm,shimmerLocaldB_sma3nz_amean,shimmerLocaldB_sma3nz_stddevNorm,HNRdBACF_sma3nz_amean,HNRdBACF_sma3nz_stddevNorm,logRelF0-H1-H2_sma3nz_amean,logRelF0-H1-H2_sma3nz_stddevNorm,logRelF0-H1-A3_sma3nz_amean,logRelF0-H1-A3_sma3nz_stddevNorm,F1frequency_sma3nz_amean,F1frequency_sma3nz_stddevNorm,F1bandwidth_sma3nz_amean,F1bandwidth_sma3nz_stddevNorm,F1amplitudeLogRelF0_sma3nz_amean,F1amplitudeLogRelF0_sma3nz_stddevNorm,F2frequency_sma3nz_amean,F2frequency_sma3nz_stddevNorm,F2bandwidth_sma3nz_amean,F2bandwidth_sma3nz_stddevNorm,F2amplitudeLogRelF0_sma3nz_amean,F2amplitudeLogRelF0_sma3nz_stddevNorm,F3frequency_sma3nz_amean,F3frequency_sma3nz_stddevNorm,F3bandwidth_sma3nz_amean,F3bandwidth_sma3nz_stddevNorm,F3amplitudeLogRelF0_sma3nz_amean,F3amplitudeLogRelF0_sma3nz_stddevNorm,alphaRatioV_sma3nz_amean,alphaRatioV_sma3nz_stddevNorm,hammarbergIndexV_sma3nz_amean,hammarbergIndexV_sma3nz_stddevNorm,slopeV0-500_sma3nz_amean,slopeV0-500_sma3nz_stddevNorm,slopeV500-1500_sma3nz_amean,slopeV500-1500_sma3nz_stddevNorm,spectralFluxV_sma3nz_amean,spectralFluxV_sma3nz_stddevNorm,mfcc1V_sma3nz_amean,mfcc1V_sma3nz_stddevNorm,mfcc2V_sma3nz_amean,mfcc2V_sma3nz_stddevNorm,mfcc3V_sma3nz_amean,mfcc3V_sma3nz_stddevNorm,mfcc4V_sma3nz_amean,mfcc4V_sma3nz_stddevNorm,alphaRatioUV_sma3nz_amean,hammarbergIndexUV_sma3nz_amean,slopeUV0-500_sma3nz_amean,slopeUV500-1500_sma3nz_amean,spectralFluxUV_sma3nz_amean,loudnessPeaksPerSec,VoicedSegmentsPerSec,MeanVoicedSegmentLengthSec,StddevVoicedSegmentLengthSec,MeanUnvoicedSegmentLength,StddevUnvoicedSegmentLength,equivalentSoundLevel_dBp,label
30.712149,0.02331624,30.343105,30.684504,31.109293,0.76618767,215.97676,511.02393,6.669413,6.115453,0.2566872,0.71527827,0.10709384,0.17188866,0.4454232,0.33832934,1.2082568,1.0269169,0.59419286,0.4764074,0.032693412,0.991056,41.500607,0.119923525,-17.79541,-0.42315492,0.4751527,17.18209,-17.390017,-0.4760422,0.008897439,1.085737,0.64522386,0.5130128,8.471693,0.24636538,9.033947,0.3150222,19.872936,0.2934563,683.1687,0.2851249,1385.8768,0.15562871,-16.737629,-3.1256537,1633.1228,0.18946399,1238.9086,0.21381399,-23.03382,-2.1459785,2698.2417,0.09850891,920.8029,0.29338843,-33.79186,-1.3665254,-3.7856085,-0.59969866,20.326233,0.27398962,0.067986116,0.13613766,-0.0064143897,-0.8502568,0.034877915,0.945143,42.20861,0.091031715,-18.435158,-0.38449544,0.7712069,10.368791,-18.39,-0.412248,-5.3692594,18.405159,0.064249754,0.0057700663,0.007845494,0.86281276,0.6932409,1.32125,3.3523214,0.09625,0.11190817,-35.996586,0
26.288052,0.017649937,25.838062,26.247826,26.680576,0.84251404,5.533607,3.3443835,3.0886445,2.9213142,0.40846583,0.7434077,0.1443339,0.3505777,0.7243955,0.5800616,2.37211,0.8954383,3.1500537,2.93673,0.072749466,1.0254211,19.61048,0.19835217,4.0316005,1.3284988,-26.936277,-0.31575203,-36.82243,-0.36588708,0.0066666724,0.86279696,0.77122897,0.5562265,6.770321,0.19058771,1.6643336,1.9983889,13.932899,0.25197768,751.363,0.2149449,1626.4017,0.14832383,-41.93074,-2.275527,1540.2192,0.110535465,1378.8934,0.17398879,-49.910027,-1.7951845,2830.859,0.05457269,748.4538,0.6269172,-57.25114,-1.4879587,-6.143263,-0.33416578,21.79196,0.17903624,0.08470485,0.09009186,-0.025406519,-0.42766336,0.09160841,0.862781,20.51639,0.14681414,4.754234,0.8730444,-30.740147,-0.15571678,-42.715816,-0.231659,-4.6463923,14.698894,0.09169142,-0.0014591642,0.021771975,0.41208792,0.2766252,2.6599998,2.62,0.935,0.825,-30.30107,0
32.711235,0.03390621,32.353592,32.554337,32.78048,0.4268875,4.6988726,0.0,-10.235637,7.3900337,0.10390348,0.9412401,0.0593629,0.07204379,0.09098684,0.03162394,0.64427114,0.3543066,0.49188378,0.45737207,0.0062293834,2.009367,39.359825,0.18451892,-3.8504531,-1.4141355,-2.8734574,-1.5088885,-13.824108,-0.37568474,0.004690588,1.121589,0.40525317,0.46775365,10.950241,0.09756635,1.5467207,2.901666,18.770018,0.23076029,489.335,0.32300618,1408.871,0.1321051,-135.391,-0.6790638,1393.2239,0.16918544,1089.8866,0.25994402,-133.25864,-0.6846238,2635.923,0.08268412,829.39935,0.45688638,-138.01805,-0.6147402,-6.7963448,-0.35331187,20.190386,0.18234995,0.086123794,0.123866476,0.0002956429,25.38498,0.0136823645,1.3964884,41.77206,0.0668573,-8.588959,-0.5054934,-4.0159597,-1.2420323,-17.051216,-0.35795826,-8.541266,25.07745,0.083215006,-0.0007636601,0.002269167,0.1537673,0.9249743,0.3638889,0.71201694,0.65999997,1.0465633,-44.491264,0
35.8233,0.00482303,35.67398,35.812363,35.9561,0.28211975,2.0909617,1.4193739,1.8768885,1.0284405,0.5383251,0.32603613,0.49617633,0.5729078,0.6231421,0.12696579,0.5396388,0.15147972,0.10005695,0.047163364,0.13168377,0.33626813,27.65855,0.39479062,4.1609006,0.8403535,-9.49995,-0.5567261,-2.9044743,-2.358341,0.011599554,0.69179165,1.0328683,0.3792259,7.7821345,0.27299753,-0.27877152,-10.683573,24.722137,0.16592705,721.09406,0.34103543,1571.1896,0.18960299,-32.79237,-1.8754878,1616.4519,0.17222506,1365.8317,0.2314151,-34.40659,-1.6024114,2776.024,0.1090793,1156.6436,0.34291953,-49.835148,-0.9961245,-9.0899935,-0.37271836,29.089819,0.13244513,0.0447911,0.27122948,7.8070196e-05,88.41996,0.14390367,0.16172694,30.820356,0.10981284,4.3921375,0.75269526,-10.449955,-0.42728093,-3.661258,-1.7783378,1.4563289,7.088899,0.054196637,0.03339429,0.024523592,0.147929,0.2969562,3.0225,5.1081667,0.258,0.36278918,-28.213388,0
34.73923,0.014937669,34.48211,34.649666,34.854748,0.3726387,5.598025,10.310031,8.097274,10.93446,0.32266036,0.5627344,0.18574378,0.26382756,0.48909476,0.30335099,0.5078408,0.60077006,0.41604057,0.26069897,0.023963172,0.9673874,28.741686,0.33123925,-31.665579,-0.29505816,-11.78822,-0.8381737,-25.106209,-0.26855275,0.0058751507,1.2733616,0.3462791,0.6156797,11.273628,0.15712033,15.4755,0.37620452,19.575518,0.26508957,739.596,0.2195737,1424.1981,0.12742732,-10.776647,-5.6714153,1626.8345,0.07890025,1173.5063,0.24417073,-10.962532,-5.486063,2849.7563,0.079965055,911.31134,0.434275,-29.006018,-1.873851,3.916029,0.5016027,22.37826,0.19243775,0.103302725,0.11865776,0.03911605,0.21308176,0.025707629,0.9090737,31.512146,0.1185222,-34.031723,-0.12919028,-12.701768,-0.7596677,-26.778664,-0.14653437,2.959234,5.974449,0.085549854,0.031554103,0.0072745415,0.5982906,0.08583691,10.58,0.0,0.52,0.26,-35.26743,0
25.668842,0.010955506,25.445133,25.639181,25.936802,0.4916687,4.0175786,1.4952021,4.4270697,2.2845948,0.18038666,0.6225185,0.102211975,0.13848458,0.28675976,0.18454778,1.4702008,1.6330104,0.32119128,0.49625692,0.021282475,1.1270311,34.850246,0.3158415,4.1329684,1.6250821,-7.23545,-0.9173147,-20.660666,-0.43752575,0.0034676238,0.8130052,0.3974811,0.5751983,8.2807665,0.07671143,0.08384201,24.712748,26.935392,0.19228505,474.41855,0.32624125,1409.8213,0.103946306,-13.534,-4.6461263,1431.2963,0.15607332,1038.8062,0.19261943,-21.197256,-2.8197937,2705.2913,0.07094293,859.1473,0.31766838,-36.787582,-1.4807738,-13.203351,-0.40101722,30.956211,0.1771753,0.09608175,0.079363644,-0.01193774,-1.4235505,0.022787116,1.0716059,37.942467,0.12744723,5.0201426,1.233109,-7.783241,-0.799071,-22.404776,-0.33455303,-0.24740914,10.276451,0.081895046,0.024075614,0.0072258143,1.2487992,0.0965251,9.32,0.0,0.505,0.024999999,-37.470016,0
35.227257,0.026285775,35.194355,35.29336,35.39399,0.19963455,5.395746,0.0,1.5501752,0.0,0.5250503,0.705443,0.24269882,0.40004534,0.7719375,0.5292387,0.6926182,0.44270968,0.16102111,0.0,0.05040525,1.1903899,24.618965,0.18180715,3.1331124,2.0514288,-17.80763,-0.679328,-30.860197,-0.4327322,0.004369546,2.314019,0.5101253,0.6568767,11.941754,0.14224099,-10.349651,-0.30363384,12.73188,0.47353584,650.9575,0.31655613,1528.1115,0.14873987,-27.289167,-2.582474,1521.9707,0.16796276,1367.8309,0.27611163,-34.11259,-1.8752618,2761.8118,0.0714735,697.6275,0.5116299,-38.671207,-1.608455,-11.855905,-0.26909518,22.289164,0.30072448,0.07687498,0.12726273,-0.01810863,-0.5032554,0.057204716,1.0769202,25.386396,0.151679,3.026742,2.170071,-20.357265,-0.44179127,-34.25319,-0.30910823,-9.135447,18.120691,0.060328033,0.0045844843,0.0059631993,0.09310987,0.09354537,9.309999,0.0,0.675,0.21499999,-26.79077,0
31.178957,0.02007455,30.993973,31.154081,31.335667,0.34169388,21.919262,0.0,446.51898,315.77213,0.8633262,0.7059935,0.43404657,0.7155927,1.51612,1.0820735,3.8551602,3.1782122,2.0472229,1.3575575,0.13122918,1.1432209,30.153912,0.28737286,-24.382006,-0.4345625,-4.0931625,-2.1674204,-23.854506,-0.33814296,0.0026294757,0.7516589,0.47219342,0.56643575,10.109484,0.11436681,-1.3179733,-1.7449229,9.475335,0.46930417,526.09204,0.38851172,1312.0396,0.1403379,-30.95864,-2.6173494,1450.0894,0.19884422,1062.8071,0.19174209,-27.346207,-2.9435754,2528.9722,0.0908,799.2017,0.28662688,-37.900864,-1.9929879,1.4211023,1.9412943,14.330883,0.33040607,0.092820644,0.10598385,0.004827721,1.7755741,0.15906584,0.95564747,33.73576,0.10423457,-28.42278,-0.22048138,-4.4863563,-2.0843248,-26.055107,-0.25001574,-5.1266646,14.843369,0.093932465,0.016376458,0.004944089,0.72158754,0.060386475,13.599999,0.0,0.96666664,0.7875842,-22.474289,0
31.574076,0.06551593,31.820717,31.94898,32.135857,0.31513977,160.31253,32.94897,8.930603,4.8890805,0.80246615,0.5111077,0.67202437,0.7566848,1.0068302,0.33480585,8.27168,6.5120945,7.605024,6.50448,0.19528934,0.8788025,28.782356,0.4268262,-7.0565667,-0.7753379,-15.245828,-0.46993962,6.266524,1.1404779,0.020588618,3.181218,0.94573754,0.77632713,7.56558,0.38212693,1.8788897,1.7944714,17.127163,0.34506598,743.7326,0.15417707,1467.4613,0.09823556,-34.422916,-1.9789145,1549.3667,0.062489826,1191.9437,0.11427441,-30.930494,-2.2440228,2805.354,0.047072753,796.0798,0.3610772,-50.87273,-1.2059711,-0.68264955,-3.4667149,26.502853,0.15561822,0.027856013,0.29703698,0.01004742,0.6374287,0.2165682,0.7952165,32.664528,0.11116588,-8.361922,-0.56409234,-17.179287,-0.3166077,6.733506,1.0388958,0.20441127,10.183875,0.048949704,0.026804931,0.07299768,0.8976661,0.18034264,4.74,4.68,0.52,0.31822422,-23.282204,0
35.31876,0.08520244,34.715168,35.555656,36.083843,1.3686752,80.46478,90.9603,20.834703,24.209,0.30836833,0.5529165,0.18039516,0.2796637,0.4373246,0.25692946,1.1084361,0.69948655,1.1231523,0.5298928,0.04996499,0.73638153,36.75293,0.26940712,-19.16388,-0.4179734,-4.572817,-2.1098015,-21.453703,-0.44818982,0.028760152,1.3666275,1.0648688,0.88757145,6.509493,0.6593167,1.389252,3.146061,21.614185,0.36060363,671.45844,0.354014,1548.6157,0.17902683,-38.16544,-1.948003,1503.6125,0.1537224,1154.2526,0.23059891,-33.53351,-2.0760357,2760.5208,0.08148529,781.2113,0.43587175,-48.621555,-1.303121,-2.0657005,-1.6941072,21.375048,0.2882008,0.10448993,0.11325995,0.011014532,0.75680894,0.05369493,0.6669681,39.2354,0.1514155,-20.96436,-0.3018292,-5.6281495,-1.6164122,-23.0042,-0.38684437,-2.6627398,16.19628,0.0822331,0.01907918,0.030448793,1.4717908,0.98522174,0.84833336,1.0152408,0.145,0.13604532,-35.752903,0
